Pais,Anho,Npatente,max,media,dif
DE,1970,3515849,1,1.0,0.0
DE,1970,3544570,1,1.0,0.0
DE,1970,3548867,1,1.0,0.0
DE,1970,3536712,1,1.0,0.0
DE,1970,3529317,1,1.0,0.0
DE,1970,3491042,1,1.0,0.0
DE,1970,3509810,1,1.0,0.0
DE,1970,3513590,1,1.0,0.0
DE,1971,3605992,1,1.0,0.0
DE,1971,3618488,1,1.0,0.0
DE,1971,3553600,1,1.0,0.0
DE,1971,3599545,1,1.0,0.0
DE,1971,3627306,1,1.0,0.0
DE,1971,3619854,1,1.0,0.0
DE,1971,3567200,1,1.0,0.0
DE,1971,3557278,1,1.0,0.0
DE,1971,3611065,1,1.0,0.0
DE,1971,3630684,1,1.0,0.0
DE,1971,3630643,1,1.0,0.0
DE,1972,3678337,1,1.0,0.0
DE,1972,3705086,1,1.0,0.0
DE,1972,3682472,1,1.0,0.0
DE,1972,3697517,1,1.0,0.0
DE,1972,3659394,1,1.0,0.0
DE,1972,3659965,1,1.0,0.0
DE,1972,3693812,1,1.0,0.0
DE,1972,3705164,1,1.0,0.0
DE,1972,3692618,1,1.0,0.0
DE,1972,3683549,1,1.0,0.0
DE,1972,3695734,1,1.0,0.0
DE,1972,3706524,1,1.0,0.0
DE,1973,3737238,1,1.0,0.0
DE,1973,3711447,1,1.0,0.0
DE,1973,3734395,1,1.0,0.0
DE,1973,3737286,1,1.0,0.0
DE,1973,3713018,1,1.0,0.0
DE,1973,3732541,1,1.0,0.0
DE,1973,3753853,1,1.0,0.0
DE,1973,3765668,1,1.0,0.0
DE,1973,3780963,1,1.0,0.0
DE,1973,3754844,1,1.0,0.0
DE,1973,3735220,1,1.0,0.0
DE,1973,3720595,1,1.0,0.0
DE,1973,3751541,1,1.0,0.0
DE,1973,3781110,1,1.0,0.0
DE,1974,3828736,1,1.0,0.0
DE,1974,3826377,1,1.0,0.0
DE,1974,3812221,1,1.0,0.0
DE,1974,3782245,1,1.0,0.0
DE,1974,3816422,1,1.0,0.0
DE,1974,3853908,1,1.0,0.0
DE,1974,3799353,1,1.0,0.0
DE,1974,3798902,1,1.0,0.0
DE,1974,3830968,1,1.0,0.0
DE,1974,3821070,1,1.0,0.0
DE,1974,3835221,1,1.0,0.0
DE,1974,3817365,1,1.0,0.0
DE,1974,3809195,1,1.0,0.0
DE,1974,3839276,1,1.0,0.0
DE,1974,3820307,1,1.0,0.0
DE,1974,3838847,1,1.0,0.0
DE,1975,3917786,1,1.0,0.0
DE,1975,3893482,1,1.0,0.0
DE,1975,3915066,1,1.0,0.0
DE,1975,3913289,1,1.0,0.0
DE,1975,3924491,1,1.0,0.0
DE,1975,3918372,1,1.0,0.0
DE,1975,3892921,1,1.0,0.0
DE,1975,3902847,1,1.0,0.0
DE,1975,3859024,1,1.0,0.0
DE,1975,3929907,1,1.0,0.0
DE,1975,3871842,1,1.0,0.0
DE,1975,3870894,1,1.0,0.0
